event_date,event_category,event_name,description,region,intensity_1to5,dummy
2021-06-04,regulatory,FDA_approval_adult,FDA가 성인 만성 체중관리 목적으로 Wegovy(semaglutide 2.4mg) 최초 승인,US,5,1
2021-10-01,supply,supply_pause_start,Novo Nordisk 제조 용량 한계로 신규 환자 처방 일시 중단 발표,US,4,1
2022-01-06,regulatory,EMA_approval,유럽의약품청(EMA)이 EU/EEA 전역 판매 승인,EU,4,1
2022-03-01,supply,supply_resume,덴마크 Kalundborg 공장 증설 후 공급 정상화 발표,Global,3,1
2022-10-01,celebrity,elon_musk_tweet,"Elon Musk가 트위터에서 체중감량 비결로 ""Fasting... And Wegovy""라고 언급, 대중적 화제성 급증",Global,5,1
2022-12-23,regulatory,FDA_approval_adolescent,FDA가 12세 이상 청소년 대상 적응증 확대 승인,US,3,1
2023-01-01,competitor,mounjaro_diabetes_approved_context,Eli Lilly Mounjaro(tirzepatide)가 당뇨 적응증으로 이미 시장에 있었고 비만 적응증 신청 절차 진행(경쟁 구도 참고용 - 정확한 승인일은 별도 확인 필요),US,2,1
2023-11-08,competitor,zepbound_fda_approval,FDA가 Eli Lilly의 비만 치료제 Zepbound(tirzepatide) 승인 (경쟁 제품 등장),US,4,1
2024-03-08,regulatory,cardiovascular_label_expansion,SELECT 임상시험 결과를 바탕으로 심혈관 위험 감소 적응증으로 라벨 확장,US,4,1
,supply,shortage_period_2022_2024,"2022~2024년 사이 지속된 공급 부족 이슈 (정확한 시작/종료일은 FDA Drug Shortage Database에서 재확인 필요)",Global,3,0
,celebrity,other_celebrity_mentions,"오프라 윈프리, 킴 카다시안 등 기타 유명인 언급 시점 (뉴스 크롤링 결과에서 실제 보도일 채워 넣기)",Global,,0
,media,major_documentary_or_report,"주요 다큐멘터리/특집 보도(예: 60 Minutes 등) 방영일 (있다면 채워 넣기)",Global,,0
